seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,3,1,G,0.5,188,188,1,41,75.32,0.6323693630594444
1,3,1,G,0.5,94,94,1,40,57.58,0.5246968818694767
2,3,1,G,0.5,33,33,1,38,54.84,0.5461098953988798
3,3,1,G,0.5,43,43,1,49,70.44,0.4631431350654346
4,3,1,G,0.5,5,5,1,39,55.39,0.5067244898684796
5,3,1,G,0.5,107,107,1,39,53.49,0.4817576654811565
6,3,1,G,0.5,115,115,1,50,71.81,0.4533927236488971
7,3,1,G,0.5,47,47,1,37,53.73,0.47618996512182865
8,3,1,G,0.5,44,44,1,60,86.89,0.44997797605778306
9,3,1,G,0.5,54,54,1,45,64.5,0.47613472454114575
10,3,1,G,0.5,24,24,1,126,181.61,0.46427232324393986
11,3,1,G,0.5,169,169,1,61,87.62,0.4952578657777572
12,3,1,G,0.5,80,80,1,43,61.81,0.5584671165226485
13,3,1,G,0.5,167,167,1,39,56.28,0.5306233825367954
14,3,1,G,0.5,29,29,1,44,62.74,0.4699755075059599
15,3,1,G,0.5,176,176,1,38,54.04,0.5628132846895907
16,3,1,G,0.5,213,213,1,41,59.03,0.5083910032113625
17,3,1,G,0.5,78,78,1,39,55.59,0.5328845466615589
18,3,1,G,0.5,236,236,1,42,60.34,0.4928216386986885
19,3,1,G,0.5,93,93,1,43,61.96,0.5006249715107783
20,3,1,G,0.5,230,230,1,42,60.34,0.5353606347261223
21,3,1,G,0.5,23,23,1,42,60.93,0.5209522620335535
22,3,1,G,0.5,230,230,1,42,59.43,0.5324816198111453
23,3,1,G,0.5,228,228,1,41,58.83,0.506328851365063
24,3,1,G,0.5,128,128,1,39,55.47,0.5714739142229472
25,3,1,G,0.5,33,33,1,45,64.66,0.47866798364955815
26,3,1,G,0.5,127,127,1,55,78.94,0.43423344666422004
27,3,1,G,0.5,205,205,1,37,52.56,0.47550045202718344
28,3,1,G,0.5,90,90,1,50,72.44,0.5603336808816045
29,3,1,G,0.5,98,98,1,48,68.38,0.48285155636853583
30,3,1,G,0.5,181,181,1,38,54.24,0.49681901792115596
31,3,1,G,0.5,165,165,1,58,83.46,0.4592488481407324
32,3,1,G,0.5,73,73,1,44,63.23,0.48252139293014823
33,3,1,G,0.5,136,136,1,45,64.42,0.4426611087419811
34,3,1,G,0.5,246,246,1,47,66.73,0.5328348737723371
35,3,1,G,0.5,182,182,1,43,61.06,0.44703238010604357
36,3,1,G,0.5,50,50,1,38,54.65,0.5235244875271614
37,3,1,G,0.5,252,252,1,55,79.71,0.449856300030147
38,3,1,G,0.5,183,183,1,34,48.65,0.4999847979260217
39,3,1,G,0.5,44,44,1,43,61.8,0.47739664764682976
40,3,1,G,0.5,9,9,1,48,69.7,0.5086632590879444
41,3,1,G,0.5,30,30,1,48,68.53,0.5192668122961331
42,3,1,G,0.5,188,188,1,42,60.74,0.5223797251374327
43,3,1,G,0.5,32,32,1,43,61.72,0.5301278852991617
44,3,1,G,0.5,177,177,1,43,61.12,0.4878005464532801
45,3,1,G,0.5,207,207,1,39,55.75,0.5308906356712848
46,3,1,G,0.5,203,203,1,53,76.71,0.5561337539989408
47,3,1,G,0.5,110,110,1,47,67.13,0.44959412833214707
48,3,1,G,0.5,167,167,1,39,55.3,0.4773942131794144
49,3,1,G,0.5,173,173,1,37,53.09,0.5769158905863805
50,3,1,G,0.5,140,140,1,40,59.67,0.4758931519761275
51,3,1,G,0.5,233,233,1,47,62.13,0.5273881787738474
52,3,1,G,0.5,201,201,1,46,57.72,0.43935063023976995
53,3,1,G,0.5,6,6,1,40,46.86,0.5164114082764062
54,3,1,G,0.5,65,65,1,35,41.87,0.4991038514033834
55,3,1,G,0.5,43,43,1,44,51.85,0.45052821786366437
56,3,1,G,0.5,101,101,1,36,42.87,0.5112833444004539
57,3,1,G,0.5,66,66,1,41,48.9,0.48905092496770103
58,3,1,G,0.5,204,204,1,44,53.7,0.4521491241854245
59,3,1,G,0.5,25,25,1,47,57.11,0.5520890955372572
60,3,1,G,0.5,175,175,1,49,59.81,0.5441405627920781
61,3,1,G,0.5,100,100,1,37,45.06,0.5411009099852807
62,3,1,G,0.5,125,125,1,43,54.38,0.5836831089788588
63,3,1,G,0.5,78,78,1,70,86.72,0.4893653161594836
