seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,G_fit,a_fit,q_fit
0,12,3,G|a|q,0.3,220,188,0,73,123.54,5,1.0,0.4228525650586308,3.7529030300781545,3.2529995240373366
1,12,3,G|a|q,0.3,94,94,1,125,178.06,5,1.0,0.31536760461947094,3.4141210580333774,3.675833131536957
2,12,3,G|a|q,0.3,33,33,1,186,267.65,5,1.0,0.334677945026568,4.549141998969561,1.7321731561196294
3,12,3,G|a|q,0.3,179,43,0,201,290.58,5,1.0,0.5017933057568551,3.865269218012005,2.5353692512633867
4,12,3,G|a|q,0.3,5,5,1,181,260.09,5,1.0,0.33398652317456423,3.869341777998808,2.0398029788763674
5,12,3,G|a|q,0.3,166,107,0,201,287.72,5,1.0,0.5752190263892614,4.462406121430266,1.533214995433212
6,12,3,G|a|q,0.3,39,115,0,201,288.52,5,1.0,0.5917841245662468,4.290024637246938,2.12259928731154
7,12,3,G|a|q,0.3,52,47,0,201,287.63,5,1.0,0.5736091223554575,3.859520593075996,2.2500606833398398
8,12,3,G|a|q,0.3,130,44,0,148,210.35,5,1.0,0.19824840740721364,3.6247698795209966,3.3938949893763475
9,12,3,G|a|q,0.3,54,54,1,193,274.25,5,1.0,0.2845231126457083,3.9945169260866398,2.0727502899182477
10,12,3,G|a|q,0.3,2,24,0,201,288.24,5,1.0,0.5435270640083306,4.180256397822213,2.6319757707180442
11,12,3,G|a|q,0.3,169,169,1,201,285.94,5,1.0,0.29386826641121955,4.649246718269128,1.3547068969778218
12,12,3,G|a|q,0.3,157,80,0,201,287.59,5,1.0,0.19436303162916252,4.257649460355296,1.4932524230033222
13,12,3,G|a|q,0.3,85,167,0,201,284.96,5,1.0,0.5462694562761774,3.99427891209166,1.9560712518030223
14,12,3,G|a|q,0.3,29,29,1,142,200.88,5,1.0,0.2777936544438727,3.8140693249285778,2.3875028320029603
15,12,3,G|a|q,0.3,176,176,1,199,285.44,5,1.0,0.3622395907395958,4.360120411276112,1.7150794682202182
