seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,G_fit,a_fit
0,10,2,G|a,0.9,188,188,1,49,144.95,5,0.9816487848912846,5.39911979555038
1,10,2,G|a,0.9,94,94,1,57,149.44,5,0.9010239543832858,5.222340247555036
2,10,2,G|a,0.9,33,33,1,63,166.62,5,0.9273605019288502,5.140768051037264
3,10,2,G|a,0.9,43,43,1,46,121.5,5,0.8537816351053853,5.013734323507107
4,10,2,G|a,0.9,5,5,1,85,217.22,5,0.9480079638216324,4.661570997646544
5,10,2,G|a,0.9,107,107,1,45,117.81,5,0.872904704961798,4.923247967285153
6,10,2,G|a,0.9,115,115,1,61,156.78,5,0.8156418255413036,5.165970278622736
7,10,2,G|a,0.9,47,47,1,41,103.25,5,0.876821851939622,4.850228679963657
8,10,2,G|a,0.9,44,44,1,57,142.26,5,0.7983625477082869,5.2910733832522165
9,10,2,G|a,0.9,54,54,1,69,177.51,5,0.9050232627907875,4.821787048501715
10,10,2,G|a,0.9,24,24,1,57,142.86,5,0.789886090520619,5.412365356801968
11,10,2,G|a,0.9,169,169,1,46,119.17,5,0.9075037416264496,4.964605143021588
12,10,2,G|a,0.9,80,80,1,52,132.17,5,0.9877137064949234,4.773097492769462
13,10,2,G|a,0.9,167,167,1,48,122.6,5,0.9796461005895734,4.774575913967088
14,10,2,G|a,0.9,29,29,1,43,112.53,5,0.8879717302177862,4.841490397414778
15,10,2,G|a,0.9,176,176,1,52,133.97,5,0.9791110767337905,4.951960859025224
16,10,2,G|a,0.9,213,213,1,68,178.49,5,0.9401231439417732,4.76381817508131
17,10,2,G|a,0.9,78,78,1,71,187.37,5,0.8999512602633406,5.242924589177343
18,10,2,G|a,0.9,236,236,1,89,234.81,5,0.9169185707723144,4.805136567440762
19,10,2,G|a,0.9,93,93,1,73,192.2,5,0.9060530530794155,4.992392705211958
20,10,2,G|a,0.9,230,230,1,66,171.17,5,0.9052186517721643,5.230579271129328
21,10,2,G|a,0.9,23,23,1,100,262.45,5,0.938672746452357,4.75782757652585
22,10,2,G|a,0.9,230,230,1,75,193.75,5,0.9095754074001361,5.168045879126203
23,10,2,G|a,0.9,228,228,1,78,207.19,5,0.8923251650611879,5.161124510368302
24,10,2,G|a,0.9,128,128,1,49,129.37,5,0.9644782937740649,5.114011076878569
25,10,2,G|a,0.9,33,33,1,59,152.89,5,0.8632614645734961,5.092912417434787
26,10,2,G|a,0.9,127,127,1,57,151.35,5,0.8150830818156227,4.925108131335335
27,10,2,G|a,0.9,205,205,1,62,162.72,5,0.8885065049695251,5.0115143640752216
28,10,2,G|a,0.9,90,90,1,76,203.08,5,0.9634288269253198,5.141398773335158
29,10,2,G|a,0.9,98,98,1,48,128.66,5,0.8986528896777716,4.742484795407963
30,10,2,G|a,0.9,181,181,1,87,229.29,5,0.8789120807750767,5.127835074847127
31,10,2,G|a,0.9,165,165,1,57,147.17,5,0.8680328641637873,4.835042766353829
32,10,2,G|a,0.9,73,73,1,58,150.61,5,0.9145027081672448,4.727166569146718
33,10,2,G|a,0.9,136,136,1,47,120.85,5,0.8544866065816357,5.045149892795996
34,10,2,G|a,0.9,246,246,1,47,120.42,5,0.8885416496377546,5.312536554537335
35,10,2,G|a,0.9,182,182,1,56,143.19,5,0.7914987056126964,5.216408251369277
36,10,2,G|a,0.9,50,50,1,48,124.06,5,0.9743358084062738,4.735279178739115
37,10,2,G|a,0.9,252,252,1,61,157.72,5,0.8737945295928456,4.8555150371437
38,10,2,G|a,0.9,183,183,1,41,106.74,5,0.8786756457360351,5.009088588527268
39,10,2,G|a,0.9,44,44,1,51,134.57,5,0.8818632298258271,4.776156796416043
40,10,2,G|a,0.9,9,9,1,91,240.45,5,0.9230317371178368,5.011088363096582
41,10,2,G|a,0.9,30,30,1,77,203.57,5,0.9296704221967081,4.9240244051483915
42,10,2,G|a,0.9,188,188,1,67,173.06,5,0.8779806733336596,5.347871573608978
43,10,2,G|a,0.9,32,32,1,70,180.86,5,0.900855977155624,5.300488377770237
44,10,2,G|a,0.9,177,177,1,47,122.59,5,0.874972036471819,5.08044475379015
45,10,2,G|a,0.9,207,207,1,68,178.58,5,0.9439096647416374,4.93225362108065
46,10,2,G|a,0.9,203,203,1,49,127.3,5,0.9902345115628022,4.933755162400773
47,10,2,G|a,0.9,110,110,1,57,149.5,5,0.813760662802255,5.210194132360647
48,10,2,G|a,0.9,167,167,1,65,168.23,5,0.8615184733469852,4.907693227076651
49,10,2,G|a,0.9,173,173,1,54,141.24,5,0.9741014789928764,5.041169201152731
50,10,2,G|a,0.9,140,140,1,57,106.11,5,0.81888777154627,5.341070236438982
51,10,2,G|a,0.9,233,233,1,101,179.47,5,0.9508890360248043,4.885801951840316
52,10,2,G|a,0.9,201,201,1,43,74.41,5,0.8051498464087204,5.106834030441607
53,10,2,G|a,0.9,6,6,1,76,134.37,5,0.9378017627109272,4.992178074246718
54,10,2,G|a,0.9,65,65,1,66,116.92,5,0.9164897411094355,4.7696892452591015
55,10,2,G|a,0.9,43,43,1,45,79.55,5,0.8845052127307497,4.601394081906586
56,10,2,G|a,0.9,101,101,1,96,171.09,5,0.9317681573507578,4.910002951825379
57,10,2,G|a,0.9,66,66,1,52,92.15,5,0.8340574716134548,5.365016824461193
58,10,2,G|a,0.9,204,204,1,59,103.2,5,0.8582595690474809,4.9544357761656705
59,10,2,G|a,0.9,25,25,1,47,81.87,5,0.9827093970344984,4.671754163334206
60,10,2,G|a,0.9,175,175,1,63,110.12,5,0.9255120426594137,5.165898593757645
61,10,2,G|a,0.9,100,100,1,79,138.25,5,0.9223010907518377,5.050578103851017
62,10,2,G|a,0.9,125,125,1,77,132.75,5,0.9086256642911924,5.519634114787232
63,10,2,G|a,0.9,78,78,1,54,94.04,5,0.8909141410480115,4.976791505046427
64,10,2,G|a,0.9,254,254,1,66,115.36,5,0.910658136014866,5.113887120525225
65,10,2,G|a,0.9,74,74,1,125,220.25,5,0.9391075785459766,5.16749211681723
66,10,2,G|a,0.9,181,181,1,85,149.6,5,0.9328299014990727,5.107610193263063
67,10,2,G|a,0.9,211,211,1,70,124.09,5,0.9446674990714246,5.173376516306084
68,10,2,G|a,0.9,203,203,1,52,91.87,5,0.899041718047724,4.768143851195535
69,10,2,G|a,0.9,0,0,1,66,115.77,5,0.9030107315935448,4.809120382226277
70,10,2,G|a,0.9,92,92,1,52,90.84,5,0.9791040497744118,4.991216180120201
71,10,2,G|a,0.9,49,49,1,66,117.12,5,0.9191677580701241,4.8141035908370275
72,10,2,G|a,0.9,165,165,1,53,95.12,5,0.9425232260476549,4.591482678910061
73,10,2,G|a,0.9,76,76,1,71,122.55,5,0.8633378085095935,4.97712871880623
74,10,2,G|a,0.9,175,175,1,49,85.18,5,0.8583551347983341,4.942690291245037
75,10,2,G|a,0.9,32,32,1,75,131.33,5,0.8819403216962252,5.023438042499411
76,10,2,G|a,0.9,112,112,1,52,90.46,5,0.9926662688104348,4.67876689421926
77,10,2,G|a,0.9,255,255,1,49,84.78,5,0.8810541753548535,4.833872882396178
78,10,2,G|a,0.9,185,185,1,61,108.0,5,0.9022578981083518,4.774549836140646
79,10,2,G|a,0.9,136,136,1,45,78.46,5,0.987645707166776,4.9408667500619625
80,10,2,G|a,0.9,107,107,1,65,114.35,5,0.9854372069882777,5.076133274121493
81,10,2,G|a,0.9,189,189,1,50,87.87,5,0.8840314921566927,5.100754621351964
82,10,2,G|a,0.9,136,136,1,89,155.36,5,0.8924742176036949,5.192004740947135
83,10,2,G|a,0.9,180,180,1,62,110.43,5,0.8139032249208336,5.2643132310806715
84,10,2,G|a,0.9,142,142,1,104,185.74,5,0.9467229355515961,4.981526195871798
85,10,2,G|a,0.9,18,18,1,53,92.14,5,0.973491824932573,4.797930783365254
86,10,2,G|a,0.9,165,165,1,68,119.61,5,0.9087172521447395,5.021750552036717
87,10,2,G|a,0.9,224,224,1,50,85.73,5,0.7004457171260214,4.9977102268908755
88,10,2,G|a,0.9,43,43,1,67,115.85,5,0.8737200275723955,5.181492780780471
89,10,2,G|a,0.9,66,66,1,61,104.59,5,0.8601615741027058,5.142454981135
90,10,2,G|a,0.9,16,16,1,56,94.96,5,0.968669984947896,4.912278113988998
91,10,2,G|a,0.9,123,123,1,46,78.57,5,0.813826153725583,5.167665526379005
92,10,2,G|a,0.9,229,229,1,80,139.77,5,0.9232181819555043,4.733954527693394
93,10,2,G|a,0.9,256,256,1,45,78.29,5,0.9909442828671768,5.090675012902874
94,10,2,G|a,0.9,73,73,1,52,91.57,5,0.8636556127120552,4.959998482449617
95,10,2,G|a,0.9,91,91,1,79,137.71,5,0.8949796451541374,5.072451148754352
96,10,2,G|a,0.9,113,113,1,48,83.72,5,0.98877222746902,4.647646204922554
97,10,2,G|a,0.9,12,12,1,43,74.6,5,0.9872365858409052,4.854295750931756
98,10,2,G|a,0.9,176,176,1,54,92.41,5,0.9888139914146262,4.925055337349491
99,10,2,G|a,0.9,81,81,1,50,86.89,5,0.8804493296626177,5.305511029019207
