seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,25,5,G|q,0.9,188,188,1,68,133.75,1.0,0.9678550706175831,1.5409130800428994
1,25,5,G|q,0.9,94,94,1,48,85.61,1.0,0.9012103215924255,1.2777377268042802
2,25,5,G|q,0.9,33,33,1,36,64.66,1.0,0.9300317457045307,1.1537397222330978
3,25,5,G|q,0.9,43,43,1,53,94.18,1.0,0.8546811187579486,1.0205313438040822
4,25,5,G|q,0.9,5,5,1,35,61.78,1.0,0.954514545198417,0.5999506869435494
5,25,5,G|q,0.9,107,107,1,46,82.83,1.0,0.8758409129582347,0.8922658493378711
6,25,5,G|q,0.9,115,115,1,39,68.33,1.0,0.8187708008787105,1.1788113630538937
7,25,5,G|q,0.9,47,47,1,46,81.63,1.0,0.8786898153323142,0.8244000644240451
8,25,5,G|q,0.9,44,44,1,47,81.82,1.0,0.7980052658507898,1.3562000825036733
9,25,5,G|q,0.9,54,54,1,77,137.6,1.0,0.9083210364695682,0.7814648667793742
10,25,5,G|q,0.9,24,24,1,47,81.95,1.0,0.7933244371581002,1.4795704626746962
11,25,5,G|q,0.9,169,169,1,99,184.47,1.0,0.9237721252023525,0.9174835266558408
12,25,5,G|q,0.9,80,80,1,69,124.53,1.0,0.9745173582338011,0.7640735782069284
13,25,5,G|q,0.9,167,167,1,52,95.48,1.0,0.9691050230953705,0.7648424482673921
14,25,5,G|q,0.9,29,29,1,57,103.64,1.0,0.8920320230081985,0.808080908514463
15,25,5,G|q,0.9,176,176,1,78,143.65,1.0,0.9637553217706493,0.9610979521490496
16,25,5,G|q,0.9,213,213,1,31,56.26,1.0,0.9470256951446485,0.7145412165787036
17,25,5,G|q,0.9,78,78,1,62,115.01,1.0,0.9052523983586621,1.2692239586035514
18,25,5,G|q,0.9,236,236,1,70,126.67,1.0,0.9194697628035851,0.7727554080618222
19,25,5,G|q,0.9,93,93,1,62,111.49,1.0,0.9052992141793919,1.0159761339183744
20,25,5,G|q,0.9,230,230,1,64,116.06,1.0,0.9048020009731952,1.2970430885886823
21,25,5,G|q,0.9,23,23,1,101,184.85,1.0,0.9452321116677848,0.7099163146706933
22,25,5,G|q,0.9,230,230,1,59,104.67,1.0,0.9108823225133896,1.2130368329591437
23,25,5,G|q,0.9,228,228,1,58,102.92,1.0,0.8950513860090443,1.1825599543377932
24,25,5,G|q,0.9,128,128,1,76,137.4,1.0,0.9533320606658394,1.165505654717717
25,25,5,G|q,0.9,33,33,1,68,120.43,1.0,0.8639169051176534,1.1148897740365293
26,25,5,G|q,0.9,127,127,1,42,74.19,1.0,0.817042312065698,0.9043429208019969
27,25,5,G|q,0.9,205,205,1,53,92.39,1.0,0.8874852297745921,1.0336117229623518
28,25,5,G|q,0.9,90,90,1,38,67.14,1.0,0.9602302038583271,1.1864354107923345
29,25,5,G|q,0.9,98,98,1,70,128.6,1.0,0.8995676516853726,0.7034314597789599
30,25,5,G|q,0.9,181,181,1,38,69.88,1.0,0.8795323471780596,1.1544123478629846
31,25,5,G|q,0.9,165,165,1,49,85.95,1.0,0.8717716758168593,0.7923397969248334
32,25,5,G|q,0.9,73,73,1,94,174.23,1.0,0.9220306307401807,0.6652509878921922
33,25,5,G|q,0.9,136,136,1,57,105.03,1.0,0.8587345587497861,1.0261337913680157
34,25,5,G|q,0.9,246,246,1,68,124.5,1.0,0.894268130234526,1.3483802148286177
35,25,5,G|q,0.9,182,182,1,41,72.03,1.0,0.792120766878805,1.2651950440136626
36,25,5,G|q,0.9,50,50,1,67,125.93,1.0,0.9634077595291185,0.7313771021892637
37,25,5,G|q,0.9,252,252,1,64,114.58,1.0,0.8763012102410764,0.8230927032818085
38,25,5,G|q,0.9,183,183,1,58,104.54,1.0,0.8798774431624884,1.0154527297442815
39,25,5,G|q,0.9,44,44,1,55,97.75,1.0,0.8841422945275591,0.7393528998221542
40,25,5,G|q,0.9,9,9,1,92,167.83,1.0,0.924145898473535,1.0195650826415328
41,25,5,G|q,0.9,30,30,1,101,180.64,1.0,0.9344310433475629,0.8960537805003627
42,25,5,G|q,0.9,188,188,1,52,93.26,1.0,0.8774242019926408,1.4379541542193597
43,25,5,G|q,0.9,32,32,1,58,100.76,1.0,0.9013638391266363,1.3648158781688964
44,25,5,G|q,0.9,177,177,1,48,83.73,1.0,0.8765093388686588,1.098385694442495
45,25,5,G|q,0.9,207,207,1,58,101.51,1.0,0.9387199402826646,0.9373775343760145
46,25,5,G|q,0.9,203,203,1,48,84.51,1.0,0.977140337658574,0.9591281854028642
47,25,5,G|q,0.9,110,110,1,42,72.23,1.0,0.8146878507590893,1.24791764039221
48,25,5,G|q,0.9,167,167,1,41,69.8,1.0,0.8642097577412478,0.8784909190500686
49,25,5,G|q,0.9,173,173,1,63,110.87,1.0,0.9569426531048371,1.0937985179446486
