seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,G_fit
0,2,1,G,0.3,188,188,1,38,53.71,0.2965718128642709
1,2,1,G,0.3,94,94,1,40,51.56,0.300094990582749
2,2,1,G,0.3,33,33,1,45,57.67,0.2990156165176838
3,2,1,G,0.3,43,43,1,50,63.84,0.301946564177864
4,2,1,G,0.3,5,5,1,48,61.15,0.2984163576924903
5,2,1,G,0.3,107,107,1,58,74.8,0.2995849609240491
6,2,1,G,0.3,115,115,1,62,79.29,0.3023230962509244
7,2,1,G,0.3,52,47,0,201,242.39,0.6309998903274125
8,2,1,G,0.3,44,44,1,46,54.18,0.30169501238985624
9,2,1,G,0.3,54,54,1,52,62.36,0.3023012236699706
10,2,1,G,0.3,2,24,0,201,240.6,0.7476921311512972
11,2,1,G,0.3,129,169,0,48,58.04,0.07272370357733551
12,2,1,G,0.3,80,80,1,52,61.71,0.30061485478395866
13,2,1,G,0.3,167,167,1,51,61.66,0.29872282107368486
14,2,1,G,0.3,29,29,1,47,56.95,0.30127380989363445
15,2,1,G,0.3,176,176,1,54,66.47,0.29953832319595786
16,2,1,G,0.3,213,213,1,48,58.61,0.30195915417115976
17,2,1,G,0.3,78,78,1,45,54.5,0.299154305726974
18,2,1,G,0.3,236,236,1,45,54.91,0.30302638458883735
19,2,1,G,0.3,195,93,0,73,88.76,0.15973590101688023
20,2,1,G,0.3,230,230,1,66,78.07,0.2968115252320028
21,2,1,G,0.3,23,23,1,55,65.84,0.30090477099959356
22,2,1,G,0.3,230,230,1,58,70.46,0.2986641096604071
23,2,1,G,0.3,228,228,1,58,69.69,0.3036867446985831
24,2,1,G,0.3,128,128,1,40,47.45,0.29900310088409837
25,2,1,G,0.3,106,33,0,74,90.99,0.24714376161902116
26,2,1,G,0.3,168,127,0,201,245.93,0.5272650074204663
27,2,1,G,0.3,205,205,1,54,65.38,0.3012123668691009
28,2,1,G,0.3,90,90,1,53,64.31,0.2981318918367445
29,2,1,G,0.3,83,98,0,75,90.73,0.4919298183343727
30,2,1,G,0.3,181,181,1,65,79.13,0.30252757122517315
31,2,1,G,0.3,165,165,1,54,64.84,0.30004772406523883
32,2,1,G,0.3,162,73,0,201,241.83,0.849839489037317
33,2,1,G,0.3,136,136,1,57,68.27,0.29974792518392096
34,2,1,G,0.3,246,246,1,52,63.17,0.30049819591442434
35,2,1,G,0.3,220,182,0,67,80.44,0.4171918668726314
36,2,1,G,0.3,50,50,1,31,37.36,0.2995962663822261
37,2,1,G,0.3,252,252,1,201,241.89,0.5670744677626326
38,2,1,G,0.3,218,183,0,59,69.3,0.13326064413461947
39,2,1,G,0.3,44,44,1,51,60.92,0.29902791674896395
40,2,1,G,0.3,9,9,1,57,68.91,0.30334766293040727
41,2,1,G,0.3,30,30,1,52,65.69,0.30150731179958157
42,2,1,G,0.3,188,188,1,49,60.53,0.30042107623964376
43,2,1,G,0.3,32,32,1,46,55.95,0.30163174576687035
44,2,1,G,0.3,177,177,1,51,61.45,0.2999898493195101
45,2,1,G,0.3,207,207,1,49,58.87,0.2990960426147893
46,2,1,G,0.3,203,203,1,55,65.49,0.29813526123131506
47,2,1,G,0.3,110,110,1,62,73.3,0.29924582328865634
48,2,1,G,0.3,167,167,1,83,99.89,0.29745687878017507
49,2,1,G,0.3,173,173,1,74,89.46,0.30120787862437953
50,2,1,G,0.3,140,140,1,45,54.57,0.3018418377296555
51,2,1,G,0.3,233,233,1,43,51.36,0.30020077712734566
52,2,1,G,0.3,201,201,1,64,76.24,0.3025828399775048
53,2,1,G,0.3,6,6,1,55,64.72,0.3014116621425695
54,2,1,G,0.3,65,65,1,56,66.71,0.300896609737491
55,2,1,G,0.3,73,43,0,88,104.3,0.3771229861321943
56,2,1,G,0.3,101,101,1,39,46.73,0.2993820683682796
57,2,1,G,0.3,66,66,1,44,52.53,0.2999162362166992
58,2,1,G,0.3,204,204,1,61,73.84,0.3021331498749435
59,2,1,G,0.3,25,25,1,65,77.85,0.3061432100495654
60,2,1,G,0.3,175,175,1,65,77.72,0.2978557477844917
61,2,1,G,0.3,100,100,1,52,62.32,0.2996848742329364
62,2,1,G,0.3,125,125,1,57,69.06,0.29901659095687483
63,2,1,G,0.3,78,78,1,56,67.1,0.3035129542124043
64,2,1,G,0.3,254,254,1,58,69.25,0.2984134919798029
65,2,1,G,0.3,74,74,1,53,64.33,0.30069490169794916
66,2,1,G,0.3,181,181,1,52,62.23,0.3010855469955081
