seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,a_true,q_true,c_true,G_fit,a_fit,q_fit,c_fit
0,16,4,G|a|q|c,0.1,45,188,0,201,374.06,5,1.0,0.0,0.08759605705887791,5.7408616680305915,0.32416130861308995,1.4874269936222213
1,16,4,G|a|q|c,0.1,219,94,0,201,360.19,5,1.0,0.0,0.023535517341541547,4.094251271326211,1.912207107923228,-1.1042662022458967
2,16,4,G|a|q|c,0.1,209,33,0,201,363.57,5,1.0,0.0,0.10938286244003682,5.691616079949612,0.3388277701750153,0.06598256662615368
3,16,4,G|a|q|c,0.1,218,43,0,201,364.0,5,1.0,0.0,0.008759258102207164,5.230720887014114,0.6073221245944823,-0.9000979432853052
4,16,4,G|a|q|c,0.1,220,5,0,201,360.92,5,1.0,0.0,0.01328704184284715,4.5503804588589505,1.1694379750479549,-1.549291262150782
5,16,4,G|a|q|c,0.1,169,107,0,201,360.62,5,1.0,0.0,0.13640153718099995,5.028446205021254,0.6742331474873259,0.5524538234210459
6,16,4,G|a|q|c,0.1,95,115,0,201,359.59,5,1.0,0.0,0.06383599885264543,4.207286618516558,2.3100760168065366,-2.7301032495417146
7,16,4,G|a|q|c,0.1,12,47,0,201,363.98,5,1.0,0.0,0.10338147496150529,4.904933778784008,0.6237095855090243,1.2146252477014725
8,16,4,G|a|q|c,0.1,78,44,0,201,367.01,5,1.0,0.0,0.011964079071247453,3.9441106002701325,2.7513260335561394,-0.8961272300715678
9,16,4,G|a|q|c,0.1,206,54,0,201,353.35,5,1.0,0.0,0.04206146322348606,5.628501435944423,0.12907748402680258,-1.5894811022955353
10,16,4,G|a|q|c,0.1,209,24,0,201,360.91,5,1.0,0.0,0.1358211962424312,5.3291606103678575,0.906666777682446,0.347896626368921
11,16,4,G|a|q|c,0.1,63,169,0,201,363.08,5,1.0,0.0,0.0066550244025389204,3.8628256911369347,2.2735569405313223,-2.3651035966546208
12,16,4,G|a|q|c,0.1,225,80,0,201,357.91,5,1.0,0.0,0.06319674034901929,4.759042624196497,0.6327154998888991,1.6534477615858179
13,16,4,G|a|q|c,0.1,167,167,1,201,359.61,5,1.0,0.0,0.09690490742444832,4.839995493737635,1.112913202916158,-0.42691568481524905
14,16,4,G|a|q|c,0.1,251,29,0,201,364.65,5,1.0,0.0,0.07799055065796884,5.453646359715613,0.20720156281960989,0.4299008625792054
15,16,4,G|a|q|c,0.1,82,176,0,201,359.41,5,1.0,0.0,0.0017446274623847445,4.515364587483736,1.4126778502495145,-2.567855105205349
