seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,23,5,G|q,0.5,188,188,1,122,218.94,1.0,0.5000788573692673,1.001079275466618
1,23,5,G|q,0.5,94,94,1,89,157.01,1.0,0.5000359337574262,1.0024570638814037
2,23,5,G|q,0.5,33,33,1,92,155.79,1.0,0.49984372336014393,1.0011592140333494
3,23,5,G|q,0.5,43,43,1,105,179.38,1.0,0.4995356391875984,1.0029596612661527
4,23,5,G|q,0.5,5,5,1,105,173.54,1.0,0.49996613613572155,1.0009793374535647
5,23,5,G|q,0.5,107,107,1,93,148.3,1.0,0.4993491998275137,1.0025783793242187
6,23,5,G|q,0.5,115,115,1,104,176.6,1.0,0.4990404397405257,1.0046178495932556
7,23,5,G|q,0.5,47,47,1,65,100.73,1.0,0.49874028079926264,1.0056849890419042
8,23,5,G|q,0.5,44,44,1,99,169.74,1.0,0.4983322702105507,1.005013159904233
9,23,5,G|q,0.5,54,54,1,103,163.31,1.0,0.5003171574445722,1.0013051376133384
10,23,5,G|q,0.5,24,24,1,110,184.0,1.0,0.49922135780324856,1.0051758882967627
11,23,5,G|q,0.5,169,169,1,135,224.85,1.0,0.4993778603857282,1.0036853670814516
12,23,5,G|q,0.5,80,80,1,105,167.33,1.0,0.5000521747381995,1.0004566140113662
13,23,5,G|q,0.5,167,167,1,84,143.1,1.0,0.4996946951179648,1.0033226789704952
14,23,5,G|q,0.5,29,29,1,71,114.75,1.0,0.49996889197238215,1.0018699166716105
15,23,5,G|q,0.5,176,176,1,72,113.23,1.0,0.4988312560005887,1.0046414096411225
16,23,5,G|q,0.5,213,213,1,62,104.44,1.0,0.5000871433572066,1.0017443190372877
17,23,5,G|q,0.5,78,78,1,86,137.5,1.0,0.4978467591217012,1.0074381480859287
18,23,5,G|q,0.5,236,236,1,88,146.55,1.0,0.5000562635059953,1.00129334354097
19,23,5,G|q,0.5,93,93,1,90,153.06,1.0,0.49973429449783213,1.0010737500521654
20,23,5,G|q,0.5,230,230,1,109,184.77,1.0,0.4998214264358101,1.0015852358463855
21,23,5,G|q,0.5,23,23,1,100,174.54,1.0,0.49987591335522874,1.0018876407970558
22,23,5,G|q,0.5,230,230,1,89,153.15,1.0,0.499211730657964,1.0026419385340462
23,23,5,G|q,0.5,228,228,1,84,143.36,1.0,0.49451585139817494,1.0166597210588633
24,23,5,G|q,0.5,128,128,1,95,161.99,1.0,0.4996954163838802,1.0012599723611062
25,23,5,G|q,0.5,33,33,1,98,164.53,1.0,0.5001314798919632,1.0010508341608402
26,23,5,G|q,0.5,127,127,1,102,171.84,1.0,0.5007285880633515,1.0009255349715283
27,23,5,G|q,0.5,205,205,1,90,152.18,1.0,0.5005020974471763,0.9993025292331634
28,23,5,G|q,0.5,90,90,1,90,145.58,1.0,0.49912955511157897,1.0040595423750092
29,23,5,G|q,0.5,98,98,1,90,150.26,1.0,0.4999882055354089,1.0023431479192209
30,23,5,G|q,0.5,181,181,1,84,136.7,1.0,0.4999004493727219,1.0032747172261443
31,23,5,G|q,0.5,165,165,1,102,170.5,1.0,0.5005031558662655,1.0009728386130572
32,23,5,G|q,0.5,73,73,1,106,172.17,1.0,0.5001595528370824,1.0014839665479065
33,23,5,G|q,0.5,136,136,1,93,152.9,1.0,0.49829290369190665,1.0059173341582153
34,23,5,G|q,0.5,246,246,1,113,183.54,1.0,0.4992038556855234,1.0030534467561705
35,23,5,G|q,0.5,182,182,1,101,163.07,1.0,0.49970760316755447,1.0018134022200709
36,23,5,G|q,0.5,50,50,1,82,133.04,1.0,0.49905874513008075,1.0042656029942458
37,23,5,G|q,0.5,252,252,1,95,155.9,1.0,0.5006402388679816,1.0009971243007898
38,23,5,G|q,0.5,183,183,1,91,148.86,1.0,0.4993202266405522,1.00217136309128
39,23,5,G|q,0.5,44,44,1,96,163.25,1.0,0.49992140745434427,1.0017043362540488
40,23,5,G|q,0.5,9,9,1,86,148.67,1.0,0.5002373187618347,1.0007194911326258
41,23,5,G|q,0.5,30,30,1,62,105.31,1.0,0.501137911056031,1.0007513147467644
42,23,5,G|q,0.5,188,188,1,109,191.06,1.0,0.5000259192505783,1.00030164739181
43,23,5,G|q,0.5,32,32,1,90,158.5,1.0,0.4993244236217015,1.0038016265888032
44,23,5,G|q,0.5,177,177,1,109,190.82,1.0,0.4999122086743706,1.0019692063889474
45,23,5,G|q,0.5,207,207,1,87,150.94,1.0,0.4986360922886916,1.005165857551638
46,23,5,G|q,0.5,203,203,1,86,146.8,1.0,0.4979230604382581,1.0068977373722592
47,23,5,G|q,0.5,110,110,1,119,201.97,1.0,0.4996300109565291,1.0015720795112255
48,23,5,G|q,0.5,167,167,1,112,186.56,1.0,0.4992640559267487,1.0032739232383392
49,23,5,G|q,0.5,173,173,1,89,150.26,1.0,0.4988497657628158,1.0034814405246566
50,23,5,G|q,0.5,140,140,1,101,173.01,1.0,0.49976651329223687,1.0028569383041543
51,23,5,G|q,0.5,233,233,1,101,166.71,1.0,0.49968460656334346,1.0012097976462964
52,23,5,G|q,0.5,201,201,1,103,181.36,1.0,0.4999672957249565,1.002643826889054
53,23,5,G|q,0.5,6,6,1,93,148.0,1.0,0.49949106307203334,1.003267374369414
