seed,config_id,stage,unknown_params,G_true,predicted_idx,true_idx,correct,n_steps,wall_time_sec,q_true,G_fit,q_fit
0,21,5,G|q,0.1,220,188,0,132,191.7,1.0,0.10153167674456869,0.2469453144756123
1,21,5,G|q,0.1,94,94,1,134,190.24,1.0,0.09985557189647364,1.004930191129925
2,21,5,G|q,0.1,33,33,1,149,211.45,1.0,0.10005482061520028,0.999976150851712
3,21,5,G|q,0.1,139,43,0,201,285.07,1.0,0.07371778995569522,-0.1576371374367636
4,21,5,G|q,0.1,221,5,0,97,129.83,1.0,0.029703945969350866,0.6151348157096959
5,21,5,G|q,0.1,210,107,0,157,202.52,1.0,0.058734339080132064,0.18557902894276568
6,21,5,G|q,0.1,55,115,0,150,190.72,1.0,0.031079252633726885,1.1497830233943476
7,21,5,G|q,0.1,219,47,0,160,234.55,1.0,0.276721877005973,0.3135298437641484
8,21,5,G|q,0.1,187,44,0,86,126.54,1.0,0.024841720655256628,1.3119242296880915
9,21,5,G|q,0.1,236,54,0,201,286.34,1.0,0.8543303985606763,0.5573842991312481
10,21,5,G|q,0.1,2,24,0,182,269.43,1.0,0.0934706633616088,1.5839019891604336
11,21,5,G|q,0.1,39,169,0,201,288.31,1.0,0.010197134730456163,1.0044347325006977
12,21,5,G|q,0.1,197,80,0,195,272.73,1.0,0.07004713398338241,0.029538697803169492
13,21,5,G|q,0.1,125,167,0,201,274.81,1.0,0.9403253392500533,0.020830626720587907
14,21,5,G|q,0.1,117,29,0,141,187.85,1.0,0.09177719145366867,-0.3954572314969577
15,21,5,G|q,0.1,78,176,0,116,153.15,1.0,0.20721547779458646,0.1599132664774143
16,21,5,G|q,0.1,83,213,0,201,272.14,1.0,0.9605578982819699,0.14444287156903549
17,21,5,G|q,0.1,78,78,1,165,220.21,1.0,0.09988180420688471,1.0032526908599453
18,21,5,G|q,0.1,236,236,1,201,264.36,1.0,0.13682458333243047,0.9145410804178356
19,21,5,G|q,0.1,75,93,0,201,269.66,1.0,0.14679155966577317,0.22769000746253285
20,21,5,G|q,0.1,3,230,0,107,142.75,1.0,0.06902417867663248,0.12301284607571181
21,21,5,G|q,0.1,163,23,0,201,270.79,1.0,0.9005706442175679,0.02180520947236584
22,21,5,G|q,0.1,187,230,0,170,227.09,1.0,0.1029687265689008,0.03268593503138852
23,21,5,G|q,0.1,231,228,0,201,271.16,1.0,0.06275161786501646,0.6507768449022543
24,21,5,G|q,0.1,100,128,0,149,197.98,1.0,0.12714216114604776,0.3386874986030234
25,21,5,G|q,0.1,216,33,0,201,271.89,1.0,0.2020018221755612,0.2965959614505816
